Locus_name,Model,Run_time
UCE-3077,Mixture,48.11412
UCE-5586,Single,107.705869
UCE-5586,Mixture,102.942
UCE-3718,Single,7.910391
UCE-3718,Mixture,20.64035
UCE-3312,Single,28.967554
UCE-3312,Mixture,58.10242
UCE-5205,Single,19.312583
UCE-5205,Mixture,18.73861
UCE-6005,Single,14.110652
UCE-6005,Mixture,36.06301
UCE-2276,Single,42.768535
UCE-2276,Mixture,34.1066
UCE-4021,Single,33.350342
UCE-4021,Mixture,52.72734
UCE-5478,Single,43.949257
UCE-5478,Mixture,40.87684
UCE-6778,Single,17.821129
UCE-6778,Mixture,56.20631
UCE-4295,Single,18.786337
UCE-4295,Mixture,29.60388
UCE-1671,Single,31.220775
UCE-1671,Mixture,39.42757
UCE-5123,Single,18.441959
UCE-5123,Mixture,85.76908
UCE-7227,Single,24.090323
UCE-7227,Mixture,45.71726
UCE-5914,Single,226.395078
UCE-5914,Mixture,506.5049
UCE-7913,Single,88.280263
UCE-7913,Mixture,105.5243
UCE-4443,Single,313.00037
UCE-4443,Mixture,388.3827
UCE-4707,Single,81.462563
UCE-4707,Mixture,233.776
UCE-615,Single,12.038465
UCE-615,Mixture,75.53824
UCE-1217,Single,30.906038
UCE-1217,Mixture,36.08609
UCE-6823,Single,58.826587
UCE-6823,Mixture,7.432101
UCE-5524,Single,18.810578
UCE-5524,Mixture,94.24493
UCE-1420,Single,84.6172
UCE-1420,Mixture,41.31853
UCE-1864,Single,9.039338
UCE-1864,Mixture,33.8207
UCE-965,Single,8.061356
UCE-965,Mixture,36.35748
UCE-7910,Single,16.965527
UCE-7910,Mixture,58.24719
UCE-599,Single,132.885036
UCE-599,Mixture,159.7298
UCE-3557,Single,42.056791
UCE-3557,Mixture,95.9571
UCE-87,Single,28.020827
UCE-87,Mixture,175.8763
UCE-7463,Single,650.291215
UCE-7463,Mixture,137.3865
UCE-351,Single,23.730078
UCE-351,Mixture,61.96167
UCE-2928,Single,19.748927
UCE-2928,Mixture,20.47447
UCE-2064,Single,21.929418
UCE-2064,Mixture,28.26615
UCE-3606,Single,1043.817593
UCE-3606,Mixture,3037.957
UCE-15,Single,29.64827
UCE-15,Mixture,30.47648
UCE-876,Single,173.618903
UCE-876,Mixture,226.5593
UCE-2146,Single,34.221159
UCE-2146,Mixture,83.40022
UCE-7819,Single,24.0131
UCE-7819,Mixture,131.6283
UCE-5083,Single,79.225367
UCE-5083,Mixture,52.66791
UCE-2129,Single,102.088088
UCE-2129,Mixture,52.84901
UCE-4211,Single,451.387714
UCE-4211,Mixture,394.7962
UCE-3871,Single,109.683174
UCE-3871,Mixture,252.5341
UCE-4433,Single,7.645583
UCE-4433,Mixture,25.85021
UCE-7131,Single,10.46222
UCE-7131,Mixture,63.45644
UCE-5238,Single,22.417427
UCE-5238,Mixture,61.71992
UCE-6578,Single,24.876268
UCE-6578,Mixture,65.84731
UCE-4009,Single,18.370548
UCE-4009,Mixture,21.78861
UCE-5387,Single,97.64294
UCE-5387,Mixture,60.41581
UCE-6329,Single,42.330111
UCE-6329,Mixture,59.77155
UCE-2320,Single,6.240136
UCE-2320,Mixture,36.89032
UCE-4320,Single,52.211244
UCE-4320,Mixture,38.37374
UCE-5593,Single,16.925173
UCE-5593,Mixture,121.8997
UCE-5190,Single,103.183817
UCE-5190,Mixture,68.06265
UCE-1982,Single,6.324438
UCE-1982,Mixture,31.73826
UCE-4616,Single,43.293926
UCE-4616,Mixture,78.59873
UCE-5521,Single,58.554463
UCE-5521,Mixture,39.00193
UCE-3445,Single,122.662418
UCE-3445,Mixture,19.39134
UCE-6765,Single,170.500628
UCE-6765,Mixture,192.6005
UCE-7336,Single,180.061526
UCE-7336,Mixture,64.54038
UCE-3494,Single,17.012731
UCE-3494,Mixture,51.00711
UCE-2291,Single,120.033022
UCE-2291,Mixture,85.49164
UCE-3217,Single,63.541493
UCE-3217,Mixture,10.99278
UCE-1304,Single,284.354349
UCE-1304,Mixture,101.5846
UCE-5277,Single,15.54641
UCE-5277,Mixture,52.00503
UCE-5295,Single,46.512548
UCE-5295,Mixture,267.0591
UCE-7247,Single,9.122349
UCE-7247,Mixture,30.87669
UCE-1027,Single,8.661761
UCE-1027,Mixture,58.80339
UCE-1540,Single,27.182237
UCE-1540,Mixture,33.69479
UCE-5573,Single,64.116671
UCE-5573,Mixture,86.18309
UCE-7889,Single,176.301739
UCE-7889,Mixture,43.29609
UCE-6147,Single,14.738995
UCE-6147,Mixture,78.57473
UCE-3349,Single,15.840588
UCE-3349,Mixture,51.43982
UCE-3082,Single,35.348334
UCE-3082,Mixture,55.80246
UCE-6610,Single,171.290152
UCE-6610,Mixture,302.806
UCE-3734,Single,37.405877
UCE-3734,Mixture,247.1854
UCE-3497,Single,6.242358
UCE-3497,Mixture,39.27096
UCE-7324,Single,890.39369
UCE-7324,Mixture,603.7314
UCE-850,Single,32.224031
UCE-850,Mixture,75.48567
UCE-5923,Single,33.08996
UCE-5923,Mixture,78.57156
UCE-6719,Single,16.957848
UCE-6719,Mixture,71.06823
UCE-2746,Single,348.50327
UCE-2746,Mixture,318.2848
UCE-4504,Single,1235.305292
UCE-4504,Mixture,1529.015
UCE-5859,Single,26.030414
UCE-5859,Mixture,46.40569
UCE-5272,Single,304.968887
UCE-5272,Mixture,68.22103
UCE-3810,Single,12.942071
UCE-3810,Mixture,85.99146
UCE-6258,Single,26.319253
UCE-6258,Mixture,95.56902
UCE-7219,Single,23.212111
UCE-7219,Mixture,45.884
UCE-7829,Single,17.465736
UCE-7829,Mixture,69.75589
UCE-1230,Single,7.40438
UCE-1230,Mixture,37.53737
UCE-353,Single,10.655778
UCE-353,Mixture,33.12466
UCE-326,Single,233.276945
UCE-326,Mixture,201.7028
UCE-88,Single,7.226261
UCE-88,Mixture,31.78395
UCE-7787,Single,7.491226
UCE-7787,Mixture,23.60438
UCE-4371,Single,13.156268
UCE-4371,Mixture,100.1489
UCE-6048,Single,51.100796
UCE-6048,Mixture,140.9949
UCE-3543,Single,269.112904
UCE-3543,Mixture,952.1725
UCE-6658,Single,25.551246
UCE-6658,Mixture,44.55722
UCE-3157,Single,7.243747
UCE-3157,Mixture,26.77406
UCE-4217,Single,73.024642
UCE-4217,Mixture,6.926772
UCE-6933,Single,21.021006
